title,release_year,country,duration,language,certification,gross,budget
Barnyard,2006,Germany,90,English,PG,72601713,51000000
Basic Instinct 2,2006,UK,116,English,R,5851188,70000000
Beer League,2006,USA,86,English,R,475000,2800000
Beerfest,2006,USA,110,English,R,19179969,17500000
Bella,2006,USA,91,English,PG-13,8108247,3300000
Big Momma's House 2,2006,USA,99,English,PG-13,70163652,40000000
Black Book,2006,Netherlands,145,Dutch,R,4398392,21000000
Black Christmas,2006,USA,94,English,R,16235293,9000000
Black Snake Moan,2006,USA,116,English,R,9396487,15000000
Blood Diamond,2006,Germany,143,English,R,57366262,100000000
Bobby,2006,USA,112,English,R,11204499,14000000
Bon Cop Bad Cop,2006,Canada,116,English,R,,8000000
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,USA,82,English,R,128505958,18000000
Captain Alatriste: The Spanish Musketeer,2006,Spain,145,Spanish,,,24000000
Cars,2006,USA,117,English,G,244052771,120000000
Casino Royale,2006,UK,144,English,PG-13,167007184,150000000
Casino Royale,2006,UK,144,English,PG-13,167007184,150000000
Catch a Fire,2006,France,98,English,PG-13,4291965,14000000
Charlotte's Web,2006,USA,97,English,G,82506325,
Children of Men,2006,USA,109,English,R,35286428,76000000
Clerks II,2006,USA,97,English,R,24138847,5000000
Click,2006,USA,107,English,PG-13,137340146,70000000
Come Early Morning,2006,USA,97,English,R,117560,6000000
Copying Beethoven,2006,USA,104,English,PG-13,352786,11000000
Crank,2006,USA,93,English,R,27829874,12000000
Crazy Stone,2006,China,98,Mandarin,,,3000000
Crossover,2006,USA,95,English,PG-13,7009668,5600000
Curious George,2006,USA,78,English,G,58336565,50000000
Curse of the Golden Flower,2006,China,114,Mandarin,R,6565495,45000000
Date Movie,2006,USA,85,English,PG-13,48546578,20000000
Deck the Halls,2006,USA,93,English,PG,35092918,
DOA: Dead or Alive,2006,USA,87,English,PG-13,480314,21000000
Doogal,2006,USA,77,English,G,7382993,20000000
Dreamgirls,2006,USA,130,English,PG-13,103338338,70000000
Driving Lessons,2006,UK,98,English,PG-13,238774,
Eight Below,2006,USA,120,English,PG,81593527,40000000
Employee of the Month,2006,USA,103,English,PG-13,28435406,12000000
Eragon,2006,USA,104,English,PG,75030163,100000000
Exiled,2006,Hong Kong,110,Cantonese,R,49413,35000000
Eye of the Dolphin,2006,USA,100,English,PG-13,71904,2500000
Facing the Giants,2006,USA,111,English,PG,10174663,100000
Factory Girl,2006,USA,99,English,R,1654367,7000000
Failure to Launch,2006,USA,95,English,PG-13,88658172,50000000
Faith Like Potatoes,2006,South Africa,116,Zulu,PG,,10000000
Farce of the Penguins,2006,USA,80,English,R,,
Fido,2006,Canada,93,English,R,298110,8000000
Final Destination 3,2006,Germany,86,English,R,54098051,25000000
Find Me Guilty,2006,Germany,125,English,R,1172769,13000000
Firewall,2006,USA,105,English,PG-13,48745150,50000000
Flags of Our Fathers,2006,USA,135,English,R,33574332,90000000
Flicka,2006,USA,95,English,PG,20998709,15000000
Flushed Away,2006,UK,85,English,PG,64459316,149000000
Flyboys,2006,UK,140,English,PG-13,13082288,60000000
For Your Consideration,2006,USA,86,English,PG-13,5542025,12000000
Friends with Money,2006,USA,88,English,R,13367101,6500000
Fur: An Imaginary Portrait of Diane Arbus,2006,USA,122,English,R,220914,16800000
Garfield 2,2006,UK,86,English,PG,28424210,
Glory Road,2006,USA,118,English,PG,42643187,
Grandma's Boy,2006,USA,90,English,R,6088249,
Gridiron Gang,2006,USA,125,English,PG-13,38432823,30000000
Half Nelson,2006,USA,106,English,R,2694973,700000
Happily N'Ever After,2006,USA,75,English,PG,15519841,47000000
Happy Feet,2006,USA,108,English,PG,197992827,100000000
Hatchet,2006,USA,93,English,R,,1500000
Hoot,2006,USA,91,English,PG,8080116,15000000
I Served the King of England,2006,Czech Republic,113,Czech,R,617228,84450000
I Want Someone to Eat Cheese With,2006,USA,80,English,R,194568,1500000
Ice Age: The Meltdown,2006,USA,115,English,PG,195329763,80000000
Idiocracy,2006,USA,84,English,R,438653,
Idlewild,2006,USA,121,English,R,12549485,15000000
In Her Line of Fire,2006,Germany,88,English,R,721,1000000
Infamous,2006,USA,118,English,R,1150403,13000000
Inside Man,2006,USA,129,English,R,88504640,45000000
Ira & Abby,2006,USA,101,English,R,220234,3500000
Iraq for Sale: The War Profiteers,2006,USA,75,English,,,750000
Jackass Number Two,2006,USA,92,English,R,72755517,
Jimmy and Judy,2006,USA,99,English,R,,1000000
Jindabyne,2006,Australia,118,English,R,399879,15000000
Journey from the Fall,2006,USA,135,Vietnamese,R,638951,1592000
Just My Luck,2006,USA,103,English,PG-13,17324744,28000000
Kabhi Alvida Naa Kehna,2006,India,193,Hindi,R,3275443,700000000
Keeping Up with the Steins,2006,USA,90,English,PG-13,4328294,
Krrish,2006,India,168,Hindi,Not Rated,,10000000
Lady in the Water,2006,USA,110,English,PG-13,42272747,70000000
Lage Raho Munna Bhai,2006,India,144,Hindi,PG-13,,120000000
Lake of Fire,2006,USA,152,English,Unrated,23807,
Larry the Cable Guy: Health Inspector,2006,USA,89,English,PG-13,15655665,4000000
Last Holiday,2006,USA,112,English,PG-13,38360195,45000000
Let's Go to Prison,2006,USA,90,English,R,4613815,
Letters from Iwo Jima,2006,USA,141,Japanese,R,13753931,19000000
Little Big Top,2006,USA,83,English,,,240000
Little Children,2006,USA,137,English,R,5459824,26000000
Little Miss Sunshine,2006,USA,101,English,R,59889948,8000000
Littleman,2006,USA,98,English,PG-13,58255287,64000000
London to Brighton,2006,UK,85,English,R,,500000
Love's Abiding Joy,2006,USA,87,,PG,252726,3000000
Loving Annabelle,2006,USA,76,English,Not Rated,,1000000
Lucky Number Slevin,2006,Germany,110,English,R,22494487,27000000
Lucky Number Slevin,2006,Germany,110,English,R,22494487,27000000
Madea's Family Reunion,2006,USA,107,English,PG-13,63231524,6000000
Man of the Year,2006,USA,115,English,PG-13,37442180,20000000
Marie Antoinette,2006,USA,123,English,PG-13,15962471,40000000
Miss Potter,2006,UK,88,English,PG,2975649,30000000
Mission: Impossible III,2006,USA,124,English,PG-13,133382309,150000000
Monster House,2006,USA,91,English,PG,73661010,75000000
My Super Ex-Girlfriend,2006,USA,95,English,PG-13,22526144,30000000
Nacho Libre,2006,Germany,92,English,PG,80197993,32000000
Night at the Museum,2006,USA,108,English,PG,250863268,110000000
Notes on a Scandal,2006,UK,92,English,R,17508670,15000000
Old Joy,2006,USA,76,English,Unrated,255352,300000
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,2006,UK,97,English,PG-13,144431,1000000
One Night with the King,2006,USA,123,English,PG,13391174,20000000
One to Another,2006,France,95,French,Unrated,18435,1400000
Opal Dream,2006,Australia,86,English,PG,13751,11400000
Open Season,2006,USA,83,English,PG,84303558,85000000
Out of the Blue,2006,New Zealand,100,English,,728,
Over the Hedge,2006,USA,83,English,PG,155019340,80000000
Pan's Labyrinth,2006,Spain,112,Spanish,R,37623143,13500000
"Paris, je t'aime",2006,France,120,French,R,4857376,13000000
Peaceful Warrior,2006,Germany,120,English,PG-13,1055654,10000000
Perfume: The Story of a Murderer,2006,Germany,147,English,R,2208939,50000000
Phat Girlz,2006,USA,99,English,PG-13,7059537,3000000
Pirates of the Caribbean: Dead Man's Chest,2006,USA,151,English,PG-13,423032628,225000000
Poseidon,2006,USA,98,English,PG-13,60655503,160000000
Poultrygeist: Night of the Chicken Dead,2006,USA,103,English,Unrated,23000,500000
Pulse,2006,USA,90,English,PG-13,20259297,20000000
Quincea̱era,2006,USA,90,Spanish,R,1689999,400000
Rang De Basanti,2006,India,157,Hindi,Not Rated,2197331,
Renaissance,2006,France,105,English,R,63260,14000000
Rescue Dawn,2006,USA,120,English,PG-13,5484375,10000000
Rocky Balboa,2006,USA,139,English,PG,70269171,24000000
Running Scared,2006,Germany,122,English,R,6855137,17000000
Running with Scissors,2006,USA,122,English,R,6754898,12000000
Saw III,2006,USA,121,English,R,80150343,10000000
Scary Movie 4,2006,USA,89,English,PG-13,90703745,45000000
School for Scoundrels,2006,USA,108,English,PG-13,17803796,20000000
Scoop,2006,UK,96,English,PG-13,10515579,4000000
Scott Walker: 30 Century Man,2006,UK,95,English,,,500000
Severance,2006,UK,90,English,R,136432,5000000
She's the Man,2006,USA,105,English,PG-13,33687630,20000000
Sherrybaby,2006,USA,96,English,R,198407,2000000
Shortbus,2006,USA,101,English,Unrated,1984378,2000000
Silent Hill,2006,Canada,132,English,R,46982632,50000000
Slither,2006,Canada,95,English,R,7774730,15500000
Smokin' Aces,2006,UK,109,English,R,35635046,17000000
Snakes on a Plane,2006,Germany,105,English,R,34014398,33000000
Snakes on a Plane,2006,Germany,105,English,R,34014398,33000000
Southland Tales,2006,France,160,English,R,273420,17000000
Special,2006,USA,81,English,R,6387,1000000
Stay Alive,2006,USA,75,English,PG-13,23078294,9000000
Step Up,2006,USA,104,English,PG-13,65269010,12000000
Stick It,2006,Germany,103,English,PG-13,26870825,
Stranger Than Fiction,2006,USA,113,English,PG-13,40137776,38000000
Superman Returns,2006,USA,169,English,PG-13,200069408,209000000
Take the Lead,2006,USA,118,English,PG-13,34703228,30000000
Talladega Nights: The Ballad of Ricky Bobby,2006,USA,122,English,PG-13,148213377,73000000
The Ant Bully,2006,USA,88,English,PG,28133159,50000000
The Astronaut Farmer,2006,USA,104,English,PG,10996440,13000000
The Benchwarmers,2006,USA,75,English,PG-13,57651794,33000000
The Black Dahlia,2006,Germany,121,English,R,22518325,50000000
The Break-Up,2006,USA,106,English,PG-13,118683135,52000000
The Bubble,2006,Israel,90,Hebrew,Unrated,155972,1500000
The Covenant,2006,USA,97,English,PG-13,23292105,20000000
The Da Vinci Code,2006,USA,174,English,PG-13,217536138,125000000
The Dead Girl,2006,USA,93,English,R,17311,
The Departed,2006,USA,151,English,R,132373442,90000000
The Devil Wears Prada,2006,USA,109,English,PG-13,124732962,35000000
The Fast and the Furious: Tokyo Drift,2006,USA,104,English,PG-13,62494975,85000000
The Fountain,2006,USA,96,English,PG-13,10139254,35000000
The Good German,2006,USA,105,English,R,1304837,32000000
The Grudge 2,2006,USA,137,English,PG-13,39143839,20000000
The Hills Have Eyes,2006,USA,108,English,R,41777564,15000000
The History Boys,2006,UK,109,English,R,2706659,2000000
The Hoax,2006,USA,116,English,R,7156933,25000000
The Holiday,2006,USA,138,English,PG-13,63224849,85000000
The Host,2006,South Korea,110,Korean,R,2201412,12215500000
The Illusionist,2006,USA,110,English,PG-13,39825798,16000000
The Illusionist,2006,USA,110,English,PG-13,39825798,16000000
The Lake House,2006,USA,99,English,PG,52320979,40000000
The Last King of Scotland,2006,UK,121,English,R,17605861,6000000
The Lives of Others,2006,Germany,137,German,R,11284657,2000000
The Magic Flute,2006,France,135,English,,,27000000
The Marine,2006,USA,92,English,PG-13,18843314,20000000
The Naked Ape,2006,USA,,English,,,
The Namesake,2006,USA,122,English,PG-13,13569248,
The Nativity Story,2006,USA,101,English,PG,37617947,30000000
The Night Listener,2006,USA,81,English,R,7825820,4000000
The Oh in Ohio,2006,USA,88,English,R,,5000000
The Painted Veil,2006,China,125,Mandarin,PG-13,8047690,19400000
The Pet,2006,USA,94,English,,,1000000
The Pink Panther,2006,USA,93,English,PG,82226474,65000000
The Prestige,2006,USA,130,English,PG-13,53082743,40000000
The Pursuit of Happyness,2006,USA,117,English,PG-13,162586036,55000000
The Queen,2006,UK,94,English,PG-13,56437947,9800000
The Sentinel,2006,USA,107,English,PG-13,36279230,60000000
The Shaggy Dog,2006,USA,98,English,PG,61112916,50000000
The Texas Chainsaw Massacre: The Beginning,2006,USA,83,English,R,39511038,16000000
The Tooth Fairy,2006,USA,89,English,,,1500000
The Trials of Darryl Hunt,2006,USA,106,English,PG-13,1111,200000
The Ultimate Gift,2006,USA,114,English,PG,3420871,
The Wind That Shakes the Barley,2006,Ireland,127,English,Not Rated,1829142,
This Is England,2006,UK,101,English,Unrated,327919,1500000
Thr3e,2006,Poland,101,English,PG-13,978908,2400000
Ultraviolet,2006,USA,94,English,PG-13,18500966,30000000
Unaccompanied Minors,2006,USA,90,English,PG,16647384,26000000
Underworld: Evolution,2006,USA,102,English,R,62318875,50000000
United 93,2006,USA,111,English,R,31471430,15000000
Valley of the Heart's Delight,2006,USA,100,English,,118666,2500000
Valley of the Wolves: Iraq,2006,Turkey,122,Arabic,,,8300000
Volver,2006,Spain,121,Spanish,R,12899702,
We Are Marshall,2006,USA,131,English,PG,43532294,65000000
When a Stranger Calls,2006,USA,87,English,PG-13,47860214,15000000
Who Killed the Electric Car?,2006,USA,92,English,PG,1677838,1000000
Wordplay,2006,USA,94,English,PG,3117666,
World Trade Center,2006,USA,129,English,PG-13,70236496,63000000
Wristcutters: A Love Story,2006,USA,88,English,R,104077,1000000
X-Men: The Last Stand,2006,Canada,104,English,PG-13,234360014,210000000
"You, Me and Dupree",2006,USA,110,English,PG-13,75604320,54000000
Zoom,2006,USA,83,English,PG,11631245,35000000
[Rec],2007,Spain,78,Spanish,R,,1500000
1408,2007,USA,114,English,PG-13,71975611,25000000
28 Weeks Later,2007,UK,100,English,R,28637507,15000000
3:10 to Yuma,2007,USA,122,English,R,53574088,55000000
30 Days of Night,2007,USA,113,English,R,39568996,32000000
"4 Months, 3 Weeks and 2 Days",2007,Romania,113,Romanian,Not Rated,1185783,590000
88 Minutes,2007,USA,108,English,R,16930884,30000000
A Dog's Breakfast,2007,Canada,88,English,,,120000
A Dog's Breakfast,2007,Canada,88,English,,,120000
A Mighty Heart,2007,USA,108,English,R,9172810,16000000
Across the Universe,2007,USA,133,English,PG-13,24343673,45000000
Across the Universe,2007,USA,133,English,PG-13,24343673,45000000
Aliens vs. Predator: Requiem,2007,USA,102,English,R,41797066,40000000
All Hat,2007,Canada,89,English,R,,5000000
Alvin and the Chipmunks,2007,USA,92,English,PG,217326336,60000000
American Gangster,2007,USA,176,English,R,130127620,100000000
And Then Came Love,2007,USA,90,English,,,989000
Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,USA,86,English,R,5518918,750000
Arn: The Knight Templar,2007,Sweden,270,Swedish,,,25000000
Arnolds Park,2007,USA,103,English,PG-13,23616,600000
Atonement,2007,UK,123,English,R,50921738,30000000
August Rush,2007,USA,114,English,PG,31655091,30000000
Awake,2007,USA,84,English,R,14373825,8600000
Because I Said So,2007,USA,102,English,PG-13,42640890,
Becoming Jane,2007,UK,120,English,PG,18663911,16500000
Bee Movie,2007,USA,91,English,PG,126597121,150000000
Beowulf,2007,USA,115,English,PG-13,82161969,150000000
Blades of Glory,2007,USA,93,English,PG-13,118153533,61000000
Blonde Ambition,2007,USA,93,English,PG-13,5561,10000000
Blood and Chocolate,2007,USA,98,English,PG-13,3525161,
Brick Lane,2007,UK,101,English,PG-13,1094998,
Bridge to Terabithia,2007,USA,96,English,PG,82234139,17000000
Brooklyn Rules,2007,USA,99,English,R,398420,8000000
Caramel,2007,France,95,Arabic,PG,1060591,1300000
Certifiably Jonathan,2007,USA,85,English,,7826,1200000
Charlie Bartlett,2007,USA,97,English,R,3950294,12000000
Charlie Wilson's War,2007,USA,102,English,R,66636385,75000000
Closure,2007,UK,80,English,R,,1800000
Code Name: The Cleaner,2007,USA,91,English,PG-13,8104069,20000000
Control,2007,UK,122,English,R,871577,4500000
Daddy Day Camp,2007,USA,89,English,PG,13235267,6000000
Death at a Funeral,2007,USA,87,English,R,8579684,9000000
Death at a Funeral,2007,USA,87,English,R,8579684,9000000
Death Sentence,2007,USA,111,English,R,9525276,20000000
Diary of the Dead,2007,USA,95,English,R,952620,2000000
Disturbia,2007,USA,105,English,PG-13,80050171,20000000
Disturbia,2007,USA,105,English,PG-13,80050171,20000000
Dragon Wars: D-War,2007,South Korea,107,English,PG-13,10956379,35000000
Eastern Promises,2007,USA,96,English,R,17114882,25000000
Elite Squad,2007,Brazil,115,Portuguese,R,8060,4000000
Elizabeth: The Golden Age,2007,UK,114,English,PG-13,16264475,55000000
Enchanted,2007,USA,107,English,PG,127706877,85000000
Epic Movie,2007,USA,93,English,PG-13,39737645,20000000
Evan Almighty,2007,USA,96,English,PG,100289690,175000000
Fantastic 4: Rise of the Silver Surfer,2007,USA,92,English,PG,131920333,130000000
Finishing the Game: The Search for a New Bruce Lee,2007,USA,84,English,Not Rated,52850,500000
Freedom Writers,2007,Germany,123,English,PG-13,36581633,21000000
Funny Games,2007,USA,111,English,R,1294640,15000000
"Gandhi, My Father",2007,India,136,Hindi,,240425,
Georgia Rule,2007,USA,113,English,R,18882880,20000000
Ghost Rider,2007,USA,123,English,PG-13,115802596,110000000
Good Luck Chuck,2007,USA,101,English,R,35000629,25000000
Gracie,2007,USA,95,English,PG-13,2955039,9000000
Grindhouse,2007,USA,189,English,R,25031037,53000000
Hairspray,2007,USA,117,English,PG,118823091,75000000
Hannibal Rising,2007,UK,131,English,R,27667947,50000000
Harry Potter and the Order of the Phoenix,2007,UK,138,English,PG-13,292000866,150000000
Hitman,2007,France,94,English,R,39687528,24000000
Hostel: Part II,2007,USA,94,English,R,17544812,10000000
Hot Fuzz,2007,UK,121,English,R,23618786,8000000
Hot Rod,2007,USA,88,English,PG-13,13920741,
How She Move,2007,Canada,94,English,PG-13,7070459,
I Am Legend,2007,USA,104,English,PG-13,256386216,150000000
I Think I Love My Wife,2007,USA,94,English,R,12550242,
I'm Not There.,2007,USA,135,English,R,4001121,20000000
In the Land of Women,2007,USA,97,English,PG-13,11043445,10000000
In the Name of the King: A Dungeon Siege Tale,2007,Germany,156,English,PG-13,4535117,60000000
In the Shadow of the Moon,2007,UK,100,English,PG,1134049,2000000
In the Valley of Elah,2007,USA,121,English,R,6777589,
Into the Wild,2007,USA,148,English,R,18352454,15000000
Jack Brooks: Monster Slayer,2007,Canada,90,English,R,,2500000
Jesus People,2007,USA,35,English,,,
Juno,2007,USA,96,English,PG-13,143492840,7500000
Juno,2007,USA,96,English,PG-13,143492840,7500000
Kiss the Bride,2007,USA,100,English,R,31937,500000
Knocked Up,2007,USA,133,English,R,148734225,30000000
Lars and the Real Girl,2007,USA,106,English,PG-13,5949693,12000000
License to Wed,2007,USA,91,English,PG-13,43792641,35000000
Lions for Lambs,2007,USA,92,English,R,14998070,35000000
Live Free or Die Hard,2007,USA,129,English,PG-13,134520804,110000000
Love in the Time of Cholera,2007,USA,139,English,R,4584886,45000000
Lucky You,2007,USA,124,English,PG-13,5755286,55000000
Married Life,2007,USA,91,English,PG-13,1506998,12000000
Martian Child,2007,USA,106,English,PG,7486906,27000000
Michael Clayton,2007,USA,119,English,R,49024969,25000000
Moli̬re,2007,France,120,French,PG-13,634277,16000000
Mongol: The Rise of Genghis Khan,2007,Russia,126,Mongolian,R,5701643,20000000
Mr. Bean's Holiday,2007,UK,90,English,PG,32553210,25000000
Music and Lyrics,2007,USA,95,English,PG-13,50562555,
My Blueberry Nights,2007,Hong Kong,95,English,PG-13,866778,10000000
My Name Is Bruce,2007,USA,84,English,R,173066,1500000
Namastey London,2007,India,128,Hindi,,1207007,
Nancy Drew,2007,USA,99,English,PG,25584685,20000000
No Country for Old Men,2007,USA,122,English,R,74273505,25000000
No End in Sight,2007,USA,102,English,,1430185,2000000
No Reservations,2007,USA,104,English,PG,43097652,28000000
Ocean's Thirteen,2007,USA,122,English,PG-13,117144465,85000000
Once,2007,Ireland,85,English,R,9437933,180000
P.S. I Love You,2007,USA,126,English,PG-13,53680848,30000000
Paranormal Activity,2007,USA,84,English,R,107917283,15000
Partition,2007,Canada,116,English,R,,10000000
Persepolis,2007,France,89,French,PG-13,4443403,7300000
Pirates of the Caribbean: At World's End,2007,USA,169,English,PG-13,309404152,300000000
Premonition,2007,USA,96,English,PG-13,47852604,20000000
Purple Violets,2007,USA,103,English,,,4000000
Ratatouille,2007,USA,111,English,G,206435493,150000000
Redacted,2007,USA,90,English,R,65087,5000000
Reign Over Me,2007,USA,124,English,R,19661987,20000000
Rendition,2007,USA,122,English,R,9664316,27500000
Reno 911!: Miami,2007,USA,84,English,R,20339754,10000000
Resident Evil: Extinction,2007,France,94,English,R,50648679,45000000
Resurrecting the Champ,2007,USA,112,English,PG-13,3169424,13000000
Rockaway,2007,USA,90,English,R,,2000000
"Run, Fatboy, Run",2007,UK,100,English,PG-13,5998971,
Rush Hour 3,2007,USA,91,English,PG-13,140080850,140000000
Savage Grace,2007,Spain,97,English,Not Rated,434417,4600000
Saw IV,2007,USA,96,English,R,63270259,10000000
September Dawn,2007,USA,111,,R,1066555,11000000
Shattered,2007,UK,98,English,R,,20000000
Shooter,2007,USA,124,English,R,46975183,61000000
Shotgun Stories,2007,USA,92,English,PG-13,45661,
Shrek the Third,2007,USA,93,English,PG,320706665,160000000
Sicko,2007,USA,123,English,PG-13,24530513,9000000
Slacker Uprising,2007,USA,102,English,,,2000000
Snow Angels,2007,USA,107,English,R,402820,
Spider-Man 3,2007,USA,156,English,PG-13,336530303,258000000
Spider-Man 3,2007,USA,156,English,PG-13,336530303,258000000
St. Trinian's,2007,UK,100,English,PG-13,,13500000
Stardust,2007,UK,127,English,PG-13,38345403,70000000
Stomp the Yard,2007,USA,109,English,PG-13,61356221,14000000
Sublime,2007,USA,113,English,R,,1800000
Sunshine,2007,UK,107,English,R,3675072,26000000
Superbad,2007,USA,119,English,R,121463226,20000000
Surf's Up,2007,USA,85,English,PG,58867694,100000000
Sydney White,2007,USA,108,English,PG-13,11702090,16500000
Ta Ra Rum Pum,2007,USA,153,Hindi,,872643,6000000
Taxi to the Dark Side,2007,USA,53,English,R,274661,1000000
Teeth,2007,USA,94,English,R,347578,
The Assassination of Jesse James by the Coward Robert Ford,2007,USA,160,English,R,3904982,30000000
The Bourne Ultimatum,2007,USA,115,English,PG-13,227137090,110000000
The Brothers Solomon,2007,USA,93,English,R,900926,10000000
The Bucket List,2007,USA,97,English,PG-13,93452056,45000000
The Color of Freedom,2007,Germany,118,English,R,,30000000
The Death and Life of Bobby Z,2007,USA,97,English,R,,22000000
The Diving Bell and the Butterfly,2007,France,112,French,PG-13,5990075,
The Game Plan,2007,USA,110,English,PG,90636983,22000000
The Golden Compass,2007,USA,113,English,PG-13,70083519,180000000
The Good Night,2007,USA,93,English,R,20380,15000000
The Great Debaters,2007,USA,126,English,PG-13,30226144,15000000
The Hammer,2007,USA,88,English,R,442638,850000
The Hills Have Eyes II,2007,USA,89,English,R,20801344,15000000
The Hunting Party,2007,USA,101,English,R,876671,25000000
The Invasion,2007,USA,99,English,PG-13,15071514,80000000
The Kingdom,2007,USA,110,English,R,47456450,70000000
The Kite Runner,2007,USA,128,Dari,PG-13,15797907,20000000
The Last Legion,2007,UK,102,English,PG-13,5932060,35000000
The Last Sin Eater,2007,USA,117,English,PG-13,379643,2200000
The Legend of God's Gun,2007,USA,78,English,R,243768,30000
The Life Before Her Eyes,2007,USA,90,English,R,303439,8000000
The Living Wake,2007,USA,91,English,PG-13,12055,500000
The Man from Earth,2007,USA,87,English,Not Rated,,200000
The Mist,2007,USA,126,English,R,25592632,18000000
The Number 23,2007,USA,98,English,R,35063732,32000000
The Orphanage,2007,Spain,105,Spanish,R,7159147,3400000
The Reaping,2007,USA,99,English,R,25117498,40000000
The Savages,2007,USA,114,English,R,6610326,
The Simpsons Movie,2007,USA,87,English,PG-13,183132370,75000000
The Ten,2007,USA,96,English,R,766487,5250000
The Touch,2007,USA,7,English,,,13000
The Warlords,2007,Hong Kong,113,Mandarin,R,128978,40000000
There Will Be Blood,2007,USA,158,English,R,40218903,25000000
Things We Lost in the Fire,2007,USA,118,English,R,2849142,16000000
This Christmas,2007,USA,117,English,PG-13,49121934,13000000
Timber Falls,2007,USA,100,English,R,,2600000
Timecrimes,2007,Spain,66,Spanish,R,38108,2600000
Tin Can Man,2007,Ireland,83,English,,,10000
TMNT,2007,Hong Kong,87,English,PG,54132596,34000000
Trade,2007,Germany,120,English,R,214202,12000000
Transformers,2007,USA,144,English,PG-13,318759914,150000000
U2 3D,2007,USA,85,English,G,10353690,
Under the Same Moon,2007,Mexico,106,Spanish,PG-13,12589108,
Virgin Territory,2007,Italy,97,English,R,,38000000
Waitress,2007,USA,108,English,PG-13,19067631,2000000
Walk Hard: The Dewey Cox Story,2007,USA,120,English,R,18317151,35000000
War,2007,USA,103,English,R,22466994,25000000
We Own the Night,2007,USA,117,English,R,28563179,21000000
When Did You Last See Your Father?,2007,UK,92,English,PG-13,1071240,8000000
White Noise 2: The Light,2007,USA,99,English,PG-13,,10000000
Who's Your Caddy?,2007,USA,93,English,PG-13,5694308,7000000
Why Did I Get Married?,2007,USA,113,English,PG-13,55184721,15000000
Wild Hogs,2007,USA,100,English,PG-13,168213584,
You Kill Me,2007,USA,93,English,R,2426851,4000000
Zodiac,2007,USA,162,English,R,33048353,65000000
21,2008,USA,123,English,PG-13,81159365,35000000
27 Dresses,2008,USA,111,English,PG-13,76806312,30000000
Adam Resurrected,2008,Germany,106,English,R,,10000000
An American Carol,2008,USA,83,English,PG-13,7001720,12000000
Appaloosa,2008,USA,115,English,R,20207003,
Asterix at the Olympic Games,2008,France,116,French,,,78000000
Australia,2008,Australia,165,English,PG-13,49551662,130000000
Baby Mama,2008,USA,99,English,PG-13,60269340,30000000
Babylon A.D.,2008,France,101,English,PG-13,22531698,70000000
Baghead,2008,USA,84,English,R,140016,
Bangkok Dangerous,2008,USA,99,English,R,15279680,40000000
Bathory: Countess of Blood,2008,Slovakia,141,English,R,,
Be Kind Rewind,2008,UK,102,English,PG-13,11169531,20000000
Bedtime Stories,2008,USA,99,English,PG,109993847,80000000
Beverly Hills Chihuahua,2008,USA,91,English,PG,94497271,20000000
Blindness,2008,Canada,121,English,R,3073392,25000000
Body of Lies,2008,USA,128,English,R,39380442,70000000
Bolt,2008,USA,96,English,PG,114053579,150000000
Bottle Shock,2008,USA,110,English,PG-13,4040588,5000000
Bronson,2008,UK,92,English,R,104792,
Burn After Reading,2008,USA,96,English,R,60338891,37000000
Cadillac Records,2008,USA,109,English,R,8134217,12000000
Call + Response,2008,USA,86,English,PG-13,215185,200000
Changeling,2008,USA,141,English,R,35707327,55000000
Childless,2008,USA,90,English,R,,1000000
Choke,2008,USA,92,English,R,2926565,3000000
City of Ember,2008,USA,90,English,PG,7871693,55000000
CJ7,2008,Hong Kong,86,Cantonese,PG,206678,
Cloverfield,2008,USA,85,English,PG-13,80034302,25000000
College,2008,USA,94,English,R,4693919,6500000
Death Race,2008,USA,111,English,R,36064910,45000000
"Definitely, Maybe",2008,Germany,112,English,PG-13,31973840,
Delgo,2008,USA,94,English,PG,511920,40000000
Disaster Movie,2008,USA,88,English,PG-13,14174654,25000000
Dolphins and Whales 3D: Tribes of the Ocean,2008,UK,42,English,,7518876,6000000
Donkey Punch,2008,UK,99,English,R,18378,900000
Doomsday,2008,UK,113,English,R,10955425,30000000
Doubt,2008,USA,104,English,PG-13,33422556,20000000
Dragon Hunters,2008,France,80,French,PG,,11000000
Drillbit Taylor,2008,USA,102,English,PG-13,32853640,40000000
Eagle Eye,2008,USA,118,English,PG-13,101111837,80000000
Easy Virtue,2008,UK,97,English,PG-13,2656324,
Eden Lake,2008,UK,91,English,R,5824,
Extreme Movie,2008,USA,76,English,R,,
Fifty Dead Men Walking,2008,UK,117,English,R,,6000000
Fireproof,2008,USA,122,English,PG,33451479,500000
Flame and Citron,2008,Denmark,45,Danish,Not Rated,145109,45000000
Flash of Genius,2008,USA,119,English,PG-13,4234040,20000000
"Food, Inc.",2008,USA,94,English,PG,4417124,
Fool's Gold,2008,USA,112,English,PG-13,70224196,70000000
Forgetting Sarah Marshall,2008,USA,118,English,R,62877175,30000000
Four Christmases,2008,Germany,88,English,PG-13,120136047,80000000
Free Style,2008,Canada,94,English,PG,140987,
Frost/Nixon,2008,USA,122,English,R,18593156,35000000
